City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kodiak,US,2020-09-15 17:14:45,57.79,-152.41,53.6,81,90,13.87
70,San Jose De Gracia,MX,2020-09-15 17:19:06,20.67,-102.58,71.73,65,52,5.57
71,Znamenskoye,RU,2020-09-15 17:19:07,57.13,73.83,57.9,56,50,12.1
72,Tuatapere,NZ,2020-09-15 17:19:07,-46.13,167.68,39.99,86,77,7.0
73,Beringovskiy,RU,2020-09-15 17:14:58,63.05,179.32,46.2,90,99,9.15
74,Qaanaaq,GL,2020-09-15 17:19:08,77.48,-69.36,24.98,84,0,5.28
75,Waingapu,ID,2020-09-15 17:19:08,-9.66,120.26,74.3,82,98,10.29
76,Vaini,TO,2020-09-15 17:19:09,-21.2,-175.2,71.6,83,40,5.82
77,Geraldton,AU,2020-09-15 17:19:09,-28.77,114.6,59.0,87,75,3.36
78,Saint George,US,2020-09-15 17:15:24,37.1,-113.58,82.0,14,1,3.36
79,Suifenhe,CN,2020-09-15 17:19:10,44.4,131.17,52.02,99,93,1.01
80,Lavrentiya,RU,2020-09-15 17:19:10,65.58,-171.0,44.15,95,100,14.41
81,Tarakan,ID,2020-09-15 17:19:11,3.3,117.63,79.68,79,100,1.21
82,Synya,RU,2020-09-15 17:19:11,65.37,58.04,44.22,94,96,2.33
83,Camopi,GF,2020-09-15 17:18:05,3.17,-52.32,91.45,46,77,4.27
84,Rikitea,PF,2020-09-15 17:18:58,-23.12,-134.97,73.24,76,7,6.64
85,Lorengau,PG,2020-09-15 17:19:11,-2.02,147.27,81.84,78,100,8.14
86,Ponta Do Sol,PT,2020-09-15 17:19:12,32.67,-17.1,77.0,69,20,5.82
87,West Bay,KY,2020-09-15 17:19:12,19.37,-81.42,89.6,70,20,4.7
88,Mogadishu,SO,2020-09-15 17:17:50,2.04,45.34,77.9,83,4,16.55
89,Amahai,ID,2020-09-15 17:19:13,-3.33,128.92,75.78,84,48,3.56
90,Saskylakh,RU,2020-09-15 17:19:13,71.92,114.08,44.82,81,42,5.53
91,Georgetown,MY,2020-09-15 17:15:22,5.41,100.34,80.6,83,20,2.77
92,Busselton,AU,2020-09-15 17:14:30,-33.65,115.33,54.0,72,58,11.81
93,Bethel,US,2020-09-15 17:19:14,41.37,-73.41,63.0,51,1,3.74
94,Nanortalik,GL,2020-09-15 17:14:42,60.14,-45.24,42.89,86,100,23.04
95,Cockburn Town,TC,2020-09-15 17:16:37,21.46,-71.14,86.0,70,40,8.05
96,College,US,2020-09-15 17:19:15,64.86,-147.8,51.01,75,75,3.6
97,Champerico,GT,2020-09-15 17:19:15,14.3,-91.92,86.0,70,40,4.7
98,Cherskiy,RU,2020-09-15 17:19:15,68.75,161.3,39.88,81,100,4.68
99,Fairbanks,US,2020-09-15 17:15:08,64.84,-147.72,46.4,75,90,5.82
100,Saint-Augustin,CA,2020-09-15 17:19:16,51.23,-58.65,55.02,40,28,20.51
101,Airai,TL,2020-09-15 17:15:14,-8.93,125.41,54.32,77,26,3.09
102,Comodoro Rivadavia,AR,2020-09-15 17:14:22,-45.87,-67.5,55.4,32,40,12.75
103,Challapata,BO,2020-09-15 17:19:16,-18.9,-66.77,39.52,88,100,2.35
104,East London,ZA,2020-09-15 17:19:17,-33.02,27.91,59.0,77,40,5.82
105,Boyuibe,BO,2020-09-15 17:19:17,-20.42,-63.28,78.8,36,46,5.82
106,Terrace,CA,2020-09-15 17:19:18,54.52,-128.6,51.8,71,20,17.22
107,Storforshei,NO,2020-09-15 17:19:18,66.4,14.52,48.99,81,75,2.24
108,Sao Joao Da Barra,BR,2020-09-15 17:19:19,-21.64,-41.05,82.4,58,20,20.8
109,Hilo,US,2020-09-15 17:19:19,19.73,-155.09,71.01,77,20,4.7
110,Samarai,PG,2020-09-15 17:19:19,-10.62,150.67,78.58,87,40,14.74
111,Fairlie,GB,2020-09-15 17:19:20,55.76,-4.86,69.01,77,60,1.41
112,San Quintin,MX,2020-09-15 17:19:20,30.48,-115.95,81.61,45,0,6.55
113,Rabo De Peixe,PT,2020-09-15 17:19:20,37.8,-25.58,69.8,43,20,10.29
114,Booue,GA,2020-09-15 17:19:21,-0.09,11.94,79.21,75,18,3.44
115,Chermoz,RU,2020-09-15 17:19:21,58.79,56.15,47.59,92,100,11.34
116,Lekoni,GA,2020-09-15 17:19:21,-1.58,14.26,79.59,72,81,6.17
117,Ballina,AU,2020-09-15 17:19:22,-28.87,153.57,55.99,93,40,2.13
118,Aviles,ES,2020-09-15 17:19:22,43.55,-5.92,73.99,83,20,4.7
119,Honiara,SB,2020-09-15 17:19:23,-9.43,159.95,77.11,80,100,8.93
120,Faya,SA,2020-09-15 17:19:23,18.39,42.45,73.4,68,40,8.05
121,Bathsheba,BB,2020-09-15 17:19:23,13.22,-59.52,89.6,66,40,19.46
122,Umm Lajj,SA,2020-09-15 17:19:24,25.02,37.27,87.58,62,0,6.53
123,Mount Gambier,AU,2020-09-15 17:14:43,-37.83,140.77,42.8,93,100,4.7
124,Suwalki,PL,2020-09-15 17:19:25,54.11,22.93,65.35,80,57,3.06
125,Sungairaya,ID,2020-09-15 17:19:25,0.7,108.9,78.46,87,98,6.42
126,Quatre Cocos,MU,2020-09-15 17:19:26,-20.21,57.76,66.2,77,75,19.46
127,Maloy,NO,2020-09-15 17:19:26,61.94,5.11,55.99,100,75,19.46
128,Chuy,UY,2020-09-15 17:19:26,-33.7,-53.46,59.0,60,30,6.17
129,Lodwar,KE,2020-09-15 17:19:27,3.12,35.6,92.97,26,0,7.11
130,Guaruja,BR,2020-09-15 17:19:27,-23.99,-46.26,69.01,52,100,1.01
131,Arraial Do Cabo,BR,2020-09-15 17:19:27,-22.97,-42.03,78.8,74,20,11.41
132,Lubliniec,PL,2020-09-15 17:19:28,50.67,18.68,73.99,64,0,8.05
133,Sioux Lookout,CA,2020-09-15 17:15:42,50.1,-91.92,51.8,81,90,4.7
134,Nago,JP,2020-09-15 17:19:28,26.59,127.98,78.8,88,1,3.36
135,Sao Filipe,CV,2020-09-15 17:19:29,14.9,-24.5,80.28,80,40,8.95
136,Sukhoy Log,RU,2020-09-15 17:19:29,56.91,62.03,48.78,97,100,8.95
137,Mbala,ZM,2020-09-15 17:19:29,-8.84,31.37,66.94,54,57,2.64
138,Dikson,RU,2020-09-15 17:19:30,73.51,80.55,44.47,89,100,22.66
139,Prince Rupert,CA,2020-09-15 17:15:16,54.32,-130.32,51.8,93,1,2.24
140,Lompoc,US,2020-09-15 17:14:52,34.64,-120.46,55.4,100,90,4.32
141,Xining,CN,2020-09-15 17:14:55,36.62,101.77,49.53,57,52,2.33
142,Baykit,RU,2020-09-15 17:19:30,61.67,96.37,48.4,81,100,2.48
143,Manturovo,RU,2020-09-15 17:19:31,58.34,44.76,45.99,90,56,8.48
144,Surt,LY,2020-09-15 17:19:31,31.21,16.59,82.04,63,61,12.3
145,Hualmay,PE,2020-09-15 17:19:31,-11.1,-77.61,67.06,66,43,10.51
146,Narsaq,GL,2020-09-15 17:19:31,60.92,-46.05,50.0,37,75,21.92
147,Shrewsbury,GB,2020-09-15 17:19:32,52.71,-2.75,73.4,64,100,4.7
148,Robertsport,LR,2020-09-15 17:19:32,6.75,-11.37,76.55,89,100,13.4
149,Indi,IN,2020-09-15 17:19:32,17.17,75.97,76.91,82,100,14.34
150,Watsa,CD,2020-09-15 17:19:33,3.04,29.54,67.17,96,66,1.28
151,Arraias,BR,2020-09-15 17:19:33,-12.93,-46.94,95.09,19,59,6.35
152,San Francisco,US,2020-09-15 17:18:47,37.77,-122.42,66.99,72,20,5.82
153,Kathmandu,NP,2020-09-15 17:16:28,27.72,85.32,71.6,88,75,5.82
154,Bardiyah,LY,2020-09-15 17:19:34,31.76,25.09,77.58,74,0,10.96
155,Springbok,ZA,2020-09-15 17:19:34,-29.66,17.89,49.82,61,19,8.97
156,Papetoai,PF,2020-09-15 17:19:34,-17.5,-149.87,73.4,83,20,4.7
157,Bundaberg,AU,2020-09-15 17:15:45,-24.85,152.35,61.0,87,7,6.93
158,Kazanskaya,RU,2020-09-15 17:19:35,45.41,40.44,69.73,40,0,5.5
159,Shu,KZ,2020-09-15 17:19:35,43.6,73.76,69.78,24,8,6.11
160,Tual,ID,2020-09-15 17:19:36,-5.67,132.75,78.66,81,85,15.48
161,San Ramon,US,2020-09-15 17:19:36,37.78,-121.98,68.0,77,90,3.36
162,Leh,IN,2020-09-15 17:19:36,34.17,77.58,56.05,32,0,3.6
163,Scottsbluff,US,2020-09-15 17:19:37,41.87,-103.67,79.0,25,1,8.05
164,Cedar City,US,2020-09-15 17:16:13,37.68,-113.06,69.8,19,1,3.36
165,Vaghodia,IN,2020-09-15 17:19:37,22.3,73.38,80.74,81,95,8.19
166,Deputatskiy,RU,2020-09-15 17:19:37,69.3,139.9,31.78,98,30,2.57
167,Parati,BR,2020-09-15 17:19:38,-23.22,-44.71,82.4,48,75,2.24
168,Macas,EC,2020-09-15 17:19:38,-2.32,-78.12,71.6,73,75,4.7
169,Kushiro,JP,2020-09-15 17:18:45,42.98,144.37,62.28,87,100,6.71
170,Labuhan,ID,2020-09-15 17:19:39,-6.88,112.21,77.27,74,58,8.75
171,Paratebueno,CO,2020-09-15 17:19:39,4.38,-73.22,84.2,58,40,2.98
172,Doka,SD,2020-09-15 17:19:39,13.52,35.77,76.91,83,74,2.01
173,Auki,SB,2020-09-15 17:19:39,-8.77,160.7,76.39,80,100,5.77
174,Hithadhoo,MV,2020-09-15 17:19:40,-0.6,73.08,82.15,68,32,5.84
175,Kamaishi,JP,2020-09-15 17:19:40,39.27,141.88,66.58,82,100,1.66
176,Bengkulu,ID,2020-09-15 17:19:40,-3.8,102.27,76.17,89,97,4.47
177,Port Elizabeth,ZA,2020-09-15 17:19:40,-33.92,25.57,59.0,72,75,11.41
178,Coquimbo,CL,2020-09-15 17:19:41,-29.95,-71.34,55.4,76,90,6.93
179,Naze,JP,2020-09-15 17:17:14,28.37,129.48,80.6,88,40,5.82
180,Pinega,RU,2020-09-15 17:19:41,64.7,43.39,45.07,90,85,9.64
181,Celestun,MX,2020-09-15 17:19:42,20.87,-90.4,86.52,67,77,11.1
182,Hobyo,SO,2020-09-15 17:19:42,5.35,48.53,77.97,81,3,27.09
183,Alugan,PH,2020-09-15 17:19:42,12.22,125.48,81.01,82,100,7.38
184,Cachira,CO,2020-09-15 17:19:43,7.74,-73.05,93.2,38,20,6.93
185,Ahipara,NZ,2020-09-15 17:19:44,-35.17,173.17,56.53,76,86,12.19
186,Ust-Ishim,RU,2020-09-15 17:19:44,57.69,71.17,59.02,65,87,11.74
187,Iranshahr,IR,2020-09-15 17:19:44,27.2,60.68,89.6,8,69,9.17
188,Kologriv,RU,2020-09-15 17:19:45,58.83,44.32,45.84,92,91,8.68
189,Palmer,US,2020-09-15 17:19:45,42.16,-72.33,66.0,38,40,3.36
190,Harper,LR,2020-09-15 17:19:45,4.38,-7.72,77.07,83,50,12.68
191,Najran,SA,2020-09-15 17:19:46,17.49,44.13,93.2,16,40,9.17
192,Barquisimeto,VE,2020-09-15 17:17:45,10.07,-69.32,87.8,52,40,10.29
193,Cayenne,GF,2020-09-15 17:19:46,4.93,-52.33,91.4,55,16,8.05
194,Port Hardy,CA,2020-09-15 17:15:06,50.7,-127.42,60.8,82,90,16.11
195,Bien Hoa,VN,2020-09-15 17:18:15,10.95,106.82,80.6,88,40,3.36
196,Olafsvik,IS,2020-09-15 17:19:47,64.89,-23.71,44.37,71,49,9.22
197,Talnakh,RU,2020-09-15 17:19:47,69.49,88.4,55.4,71,40,13.42
198,Praia Da Vitoria,PT,2020-09-15 17:19:47,38.73,-27.07,72.0,52,40,16.96
199,Sitka,US,2020-09-15 17:19:48,57.05,-135.33,48.2,81,1,1.57
200,Broken Hill,AU,2020-09-15 17:19:48,-31.95,141.43,57.2,41,0,10.29
201,Fuling,CN,2020-09-15 17:19:48,29.7,107.39,69.78,92,100,1.21
202,Kirakira,SB,2020-09-15 17:19:49,-10.45,161.92,79.9,84,100,15.28
203,Lagoa,PT,2020-09-15 17:19:49,39.05,-27.98,65.73,60,28,15.01
204,Galle,LK,2020-09-15 17:19:49,6.04,80.22,79.83,87,53,11.16
205,Togur,RU,2020-09-15 17:19:49,58.36,82.83,48.09,91,5,7.31
206,Ossora,RU,2020-09-15 17:19:50,59.24,163.07,43.48,76,100,3.91
207,Marfino,RU,2020-09-15 17:19:50,55.7,37.38,59.0,58,2,11.18
208,Rudbar,AF,2020-09-15 17:19:50,30.15,62.6,74.41,19,0,8.01
209,Avarua,CK,2020-09-15 17:19:50,-21.21,-159.78,71.6,83,75,9.17
210,Ipaba,BR,2020-09-15 17:19:51,-19.41,-42.42,92.97,28,7,2.42
211,Clyde River,CA,2020-09-15 17:19:51,70.47,-68.59,37.4,74,90,9.17
212,Kavieng,PG,2020-09-15 17:19:51,-2.57,150.8,82.24,78,69,13.04
213,Port-Cartier,CA,2020-09-15 17:19:51,50.03,-66.87,52.0,57,20,14.99
214,Ilulissat,GL,2020-09-15 17:19:52,69.22,-51.1,46.4,42,75,18.34
215,Kidal,ML,2020-09-15 17:19:52,18.44,1.41,106.66,9,83,12.15
216,Waddan,LY,2020-09-15 17:19:52,29.16,16.14,88.23,30,26,11.34
217,Saldanha,ZA,2020-09-15 17:19:53,-33.01,17.94,59.0,47,0,9.17
218,Roald,NO,2020-09-15 17:19:53,62.58,6.13,53.01,100,75,17.22
219,Teluk Nibung,ID,2020-09-15 17:19:53,3.0,99.82,78.73,87,100,5.86
220,Whitianga,NZ,2020-09-15 17:19:54,-36.83,175.7,54.0,91,3,4.0
221,Touros,BR,2020-09-15 17:19:54,-5.2,-35.46,84.2,58,40,18.34
