City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
260,Dubai,AE,89.6,clear sky,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
264,Fasa,IR,77.0,clear sky,28.94,53.65,Fasa University Boys' Dormitory
265,Reinosa,ES,78.01,moderate rain,43.0,-4.14,Hotel Vejo
268,San Rafael,AR,84.52,broken clouds,-34.62,-68.33,Hotel San Rafael
270,São João da Barra,BR,82.4,clear sky,-21.64,-41.05,Pousada Porto De Canoas
272,Zinder,NE,86.0,few clouds,13.81,8.99,Sountalma Ousseini
275,Esim,GH,75.6,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
276,Casablanca,MA,75.2,overcast clouds,33.59,-7.62,Hotel Moroccan House Casablanca
279,Avera,US,78.01,overcast clouds,33.19,-82.53,
288,Dingle,PH,75.0,overcast clouds,11.0,122.67,Camp Pasica
289,Caravelas,BR,78.19,clear sky,-17.71,-39.25,Pousada dos Navegantes
290,Khani,GE,75.2,clear sky,41.96,42.96,კურორტი ზეკარი/Resort Zekari
291,Sisauli,IN,83.46,few clouds,29.42,77.47,Shivom auto motors
293,Pullman,US,75.2,haze,46.73,-117.18,Holiday Inn Express & Suites Pullman
294,Pilar,BR,80.6,clear sky,-9.6,-35.96,Pousada e churrascaria Manguaba
298,San Patricio,MX,89.6,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
302,Ōarai,JP,84.0,broken clouds,36.32,140.6,Oarai Hotel
313,Neuquén,AR,75.2,broken clouds,-38.95,-68.06,Hotel del Comahue
314,İdil,TR,77.43,clear sky,37.34,41.89,ÇAKIR APARTMANI
315,Tabat,ID,75.02,broken clouds,-2.63,115.23,Perumahan PNS Senga Permai
316,Tarakan,ID,79.18,overcast clouds,3.3,117.63,Hotel D' CaLia Tarakan
317,Stillwater,US,84.2,broken clouds,36.12,-97.06,Hampton Inn & Suites Stillwater
319,Bonfim,BR,89.83,light rain,3.08,-59.95,
322,Teguise,ES,78.8,few clouds,29.06,-13.56,B&B La Casona de Nazaret
325,Birao,CF,75.78,moderate rain,10.28,22.79,
326,Lethem,GY,87.12,moderate rain,3.38,-59.8,Savannah Inn
330,Labuhan,ID,77.52,broken clouds,-6.88,112.21,bador sepret
334,Chabahar,IR,82.4,clear sky,25.29,60.64,هتل گدروشیا
336,Tiznit Province,MA,75.47,light rain,29.58,-9.5,
339,Wahiawā,US,84.2,few clouds,21.5,-158.02,Aloha Wahiawa
341,Brigantine,US,75.99,few clouds,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
343,Half Moon Bay,US,75.99,scattered clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
346,Likasi,CD,75.76,overcast clouds,-10.98,26.73,TABERNACLE DE LIKASI
351,Challans,FR,80.01,broken clouds,46.84,-1.87,Citotel Le Challans
357,Lake Shasta,US,84.99,clear sky,40.68,-122.37,Shasta Dam Motel
360,Verāval,IN,81.39,overcast clouds,20.9,70.37,Lords Inn Somnath
364,Hambantota,LK,78.8,broken clouds,6.12,81.12,Bungalow 63
365,Kavaratti,IN,81.88,light rain,10.57,72.64,Hotels in Lakshadweep Islands
368,Siquijor,PH,77.0,overcast clouds,9.21,123.52,Cecilia's Guesthouse
369,Nioro,GM,79.92,scattered clouds,13.35,-15.75,
373,Arlit,NE,80.31,moderate rain,18.74,7.39,Hôtel Telwa Bungalow
376,Asău,RO,75.2,clear sky,46.43,26.4,Casa Mika Ciobanus
378,Rock Springs,US,75.2,clear sky,41.59,-109.2,Homewood Suites by Hilton Rock Springs
380,Paka,MY,75.2,overcast clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
382,Karpathos,GR,78.8,clear sky,35.51,27.21,Alex
384,Thinadhoo,MV,82.56,clear sky,0.53,72.93,
385,Honiara,SB,75.2,broken clouds,-9.43,159.95,Heritage Park Hotel
386,Alice Springs,AU,75.2,scattered clouds,-23.7,133.88,Desert Palms Alice Springs
387,Sola,VU,82.4,broken clouds,-13.88,167.55,Leumerus Bungalows
388,Belmonte,BR,78.8,clear sky,-15.86,-38.88,Pousada Monte Carmelo O Pão
392,Grafton,US,75.99,clear sky,42.21,-71.69,The Grafton Inn
393,Itoman,JP,82.4,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
394,Quelimane,MZ,77.0,clear sky,-17.88,36.89,Hotel Flamingo
397,Evans,US,79.0,broken clouds,33.53,-82.13,Select Corporate Housing - Augusta GA Furnished Apartments
399,Takoradze,GH,75.33,clear sky,4.88,-1.76,Raybow International Hotel
401,Mbanza-Ngungu,CD,77.7,overcast clouds,-5.25,14.87,Hotel Full Business
